Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución
5;EGRESOS DE PERSONAL CORRIENTE;GASTOS CORRIENTES;1.479.588,24;-7000;1.472.588,24;1.291.657,26;1.283.754,60;1.241.949,38;1.202.653,29;7.902,66;41.805,22;269934,95;84,34
51;EGRESOS DE PERSONAL CORRIENTE;GASTOS EN PERSONAL;1.273.525,23;-1453,59;1.272.071,64;1.143.534,23;1.143.197,00;1.108.778,52;1.071.049,64;337,23;34.418,48;201022;87,16
51.01;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Basicas;864.528,00;0;864.528,00;814.040,40;814.040,40;785.119,47;765.679,32;0;28.920,93;98848,68;90,81
51.01.05;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Unificadas;568.968,00;0;568.968,00;545.214,17;545.214,17;516.293,24;505.198,07;0;28.920,93;63769,93;90,74
51.01.06;EGRESOS DE PERSONAL CORRIENTE;Salarios Unificados;295.560,00;0;295.560,00;268.826,23;268.826,23;268.826,23;260.481,25;0;0;35078,75;90,95
51.02;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Complementarias;109.094,00;5630;114.724,00;106.030,45;106.030,45;104.855,68;97.350,96;0;1.174,77;17373,04;91,4
51.02.03;EGRESOS DE PERSONAL CORRIENTE;Decimo Tercer Sueldo;72.044,00;0;72.044,00;66.375,31;66.375,31;65.458,63;64.724,27;0;916,68;7319,73;90,86
51.02.04;EGRESOS DE PERSONAL CORRIENTE;Decimo Cuarto Sueldo;37.050,00;5630;42.680,00;39.655,14;39.655,14;39.397,05;32.626,69;0;258,09;10053,31;92,31
51.03;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Compensatorias;56.456,40;-1453,59;55.002,81;21.884,13;21.884,13;21.884,13;21.872,03;0;0;33130,78;39,79
51.03.04;EGRESOS DE PERSONAL CORRIENTE;Compensacion por Transporte;3.260,40;0;3.260,40;2.003,50;2.003,50;2.003,50;1.999,50;0;0;1260,9;61,45
