gad_id;ruc;nombre;meses_visto
cant-1;160001910001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE CHORDELEG;10,11,12
cant-10;160001590001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PUCARA;10,11,12
cant-101;1060000500001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN OTAVALO;10,11,12
cant-102;1060000690001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN PEDRO DE PIMAMPIRO;10,11,12
cant-103;1060000770001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN MIGUEL DE URCUQUÍ;10,12
cant-105;1160000400001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE CATAMAYO;10,11,12
cant-106;1160000590001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CELICA;11,12
cant-107;1160836120001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN CHAGUARPAMBA;10,11,12
cant-108;1160000670001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE ESPINDOLA;11,12
cant-11;160000940001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN FERNANDO;12
cant-110;1160000240001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE LOJA;10,11,12
cant-111;1160000830001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MACARA;10,11,12
cant-114;1160002290001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PINDAL;11,12
cant-115;1160001050001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PUYANGO;11,12
cant-117;1160001130001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL DE SARAGURO;11,12
cant-12;160000780001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SANTA ISABEL;10,11,12
cant-120;1260000300001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN BABA;10,11,12
cant-121;1260000220001;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN BABAHOYO - GADM DE BABAHOYO;10,11,12
